uspara,energy_exact,error,error_rel
6,2.427811298,0.344574475,0.14192803
6,2.427811298,0.287661712,0.118486026
6,2.427811298,0.237787921,0.097943329
6,2.427811298,0.195607206,0.080569362
6,2.427811298,0.159413909,0.065661573
6,2.427811298,0.129855817,0.053486783
6,2.427811298,0.104919538,0.043215689
6,2.427811298,0.084283734,0.034715933
6,2.427811298,0.067580151,0.027835833
6,2.427811298,0.053850352,0.022180617
6,2.427811298,0.042711985,0.017592794
6,2.427811298,0.033609867,0.01384369
6,2.427811298,0.026347062,0.010852187
6,2.427811298,0.020571127,0.008473116
6,2.427811298,0.0159004,0.006549273
6,2.427811298,0.01229359,0.005063651
6,2.427811298,0.009426371,0.003882662
6,2.427811298,0.00719175,0.002962236
6,2.427811298,0.005463543,0.002250399
6,2.427811298,0.004124245,0.00169875
6,2.427811298,0.003101732,0.001277584
6,2.427811298,0.002309774,0.000951381
6,2.427811298,0.001717284,0.000707339
6,2.427811298,0.001259503,0.000518781
6,2.427811298,0.000923366,0.000380329
6,2.427811298,0.000668784,0.000275468
6,2.427811298,0.000483187,0.000199022
6,2.427811298,0.000347126,0.000142979
6,2.427811298,0.000247709,0.00010203
6,2.427811298,0.000175745,7.24E-05
6,2.427811298,0.000123975,5.11E-05
6,2.427811298,8.70E-05,3.58E-05
6,2.427811298,6.06E-05,2.50E-05
6,2.427811298,4.19E-05,1.72E-05
6,2.427811298,2.89E-05,1.19E-05
6,2.427811298,1.97E-05,8.11E-06
6,2.427811298,1.34E-05,5.51E-06
6,2.427811298,9.02E-06,3.72E-06
6,2.427811298,6.06E-06,2.50E-06
6,2.427811298,4.03E-06,1.66E-06
6,2.427811298,2.67E-06,1.10E-06
6,2.427811298,1.76E-06,7.23E-07
6,2.427811298,1.15E-06,4.73E-07
6,2.427811298,7.42E-07,3.06E-07
6,2.427811298,4.79E-07,1.97E-07
6,2.427811298,3.05E-07,1.26E-07
6,2.427811298,1.93E-07,7.96E-08
6,2.427811298,1.22E-07,5.01E-08
6,2.427811298,7.56E-08,3.11E-08
6,2.427811298,4.71E-08,1.94E-08
6,2.427811298,2.89E-08,1.19E-08
6,2.427811298,1.77E-08,7.28E-09
6,2.427811298,1.08E-08,4.43E-09
6,2.427811298,6.50E-09,2.68E-09
6,2.427811298,3.89E-09,1.60E-09
6,2.427811298,2.31E-09,9.52E-10
6,2.427811298,1.37E-09,5.64E-10
6,2.427811298,8.00E-10,3.29E-10
6,2.427811298,4.67E-10,1.93E-10
6,2.427811298,2.70E-10,1.11E-10
6,2.427811298,1.56E-10,6.42E-11
6,2.427811298,8.90E-11,3.67E-11
6,2.427811298,5.03E-11,2.07E-11
6,2.427811298,2.85E-11,1.17E-11
6,2.427811298,1.58E-11,6.50E-12
6,2.427811298,8.79E-12,3.62E-12
6,2.427811298,4.81E-12,1.98E-12
6,2.427811298,2.62E-12,1.08E-12
6,2.427811298,1.41E-12,5.81E-13
6,2.427811298,7.54E-13,3.10E-13
6,2.427811298,3.98E-13,1.64E-13
6,2.427811298,2.09E-13,8.62E-14
6,2.427811298,1.07E-13,4.43E-14
6,2.427811298,5.46E-14,2.25E-14
6,2.427811298,2.62E-14,1.08E-14
6,2.427811298,1.24E-14,5.12E-15
6,2.427811298,4.44E-15,1.83E-15
6,2.427811298,1.33E-15,5.49E-16
6,2.427811298,4.44E-16,1.83E-16
6,2.427811298,0,0
6,2.427811298,0,0
6,2.427811298,0,0
6,2.427811298,0,0
6,2.427811298,0,0
6,2.427811298,0,0
6,2.427811298,0,0
6,2.427811298,0,0
6,2.427811298,0,0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
