preset,M_mid,total,near,error_rel
4,231,0.0,8.027159584110304e-27,4.366850165107102e-29
4,236,0.0,1.997746641735913e-27,1.0867929260526276e-29
4,241,0.0,4.971860348294745e-28,2.70473870057571e-30
4,246,0.0,1.2373638782075524e-28,6.731375649419211e-31
5,1,43.5062313573121,44.552258912796795,0.004550459874854571
5,6,14.561988549561912,16.605012576945988,0.008887623286049352
5,11,5.365424221642571,6.191698365600896,0.003594482112825366
5,16,2.2282924490901594,2.3086295877907457,0.0003494849865099887
5,21,0.8427949412190158,0.8607858146342633,7.826442731877895e-5
5,26,0.314857172168469,0.32094856782662073,2.6498968768981505e-5
5,31,0.11742808368666718,0.11966736073129486,9.741368940839805e-6
5,36,0.043785332301102146,0.0446186035369642,3.624921068072432e-6
5,41,0.01632567669264076,0.016636280462970277,1.3511976682182991e-6
5,46,0.006087118665868411,0.006202924466102922,5.037818023812863e-7
5,51,0.002269614365034036,0.002312792935626726,1.8783668929693547e-7
5,56,0.0008462376250509443,0.0008623369818979478,7.003589624300962e-8
5,61,0.0003155241509616575,0.0003215268686154515,2.611319910307155e-8
5,66,0.00011764488872468803,0.00011988298010148245,9.736211013716547e-9
5,71,4.386432312512542e-5,4.4698998189170546e-5,3.6310280427737872e-9
5,76,1.6354760327128378e-5,1.6666256022531994e-5,1.355077746940692e-9
5,81,6.09770587963979e-6,6.21410101034166e-6,5.063455251347456e-10
5,86,2.273199145011654e-6,2.316960168770128e-6,1.903704942105667e-10
5,91,8.467369842798319e-7,8.638907566408748e-7,7.462284566217362e-11
5,96,3.241826463656026e-7,3.221062016813625e-7,9.033010811662012e-12
5,101,1.4324893832184028e-7,1.200989874750171e-7,1.0070759788398911e-10
5,106,-2.5279224409736518e-8,4.47795376718426e-8,3.0477168986861767e-10
5,111,0.0,1.6696285591258697e-8,7.263267324437814e-11
5,116,0.0,6.225297692614919e-9,2.7081473342394666e-11
5,121,0.0,2.321134910507562e-9,1.0097469439506933e-11
5,126,0.0,8.65447331003709e-10,3.7648944646659396e-12
5,131,0.0,3.2268657860030945e-10,1.4037606565674294e-12
5,136,0.0,1.2031538405464415e-10,5.233995267119787e-13
5,141,0.0,4.4860222272046765e-11,1.95152259953054e-13
5,146,0.0,1.6726369267819102e-11,7.276354414004282e-14
5,151,0.0,6.2365145492773885e-12,2.713026924255708e-14
5,156,0.0,2.3253171743720803e-12,1.011566324692793e-14
5,161,0.0,8.670067100310328e-13,3.77167812123055e-15
5,166,0.0,3.232680012531369e-13,1.406289978513252e-15
5,171,0.0,1.205321705416277e-13,5.24342597671493e-16
5,176,0.0,4.4941052251257016e-14,1.955038889088621e-16
5,181,0.0,1.675650714970446e-14,7.289465084130834e-17
5,186,0.0,6.247751616679819e-15,2.7179153064075625e-17
5,191,0.0,2.329506973917072e-15,1.0133889836288029e-17
5,196,0.0,8.685688987764009e-16,3.778474000713336e-18
5,201,0.0,3.2385047152406043e-16,1.4088238578381662e-18
5,206,0.0,1.207493476385215e-16,5.252873678737413e-19
5,211,0.0,4.502202787141987e-17,1.9585615143623096e-19
5,216,0.0,1.6786699334583183e-17,7.302599377305468e-20
5,221,0.0,6.259008931238668e-18,2.7228124965370255e-20
5,226,0.0,2.333704322720417e-18,1.0152149266654125e-20
5,231,0.0,8.701339023023204e-19,3.785282125137365e-21
5,236,0.0,3.2443399130072177e-19,1.4113623027538465e-21
5,241,0.0,1.209669160491307e-19,5.262338403804377e-22
5,246,0.0,4.510314939495544e-20,1.9620904867674836e-22
6,1,39.93233954200886,40.492445771359016,0.0019113441641844652
6,6,19.226656139260452,20.253253495977614,0.0035032298587450157
6,11,8.614099863472882,10.124826535512868,0.00515530529205433
6,16,4.230984916007243,5.060813028522279,0.002831761257095878
6,21,2.382619849016201,2.529519783971227,0.0005012912170627504
6,26,1.2283514435630847,1.2643058563115706,0.00012269325599758053
6,31,0.6185891443613237,0.6319246406971596,4.550694450867952e-5
6,36,0.30975947234722323,0.31584804915348486,2.0777068950543433e-5
6,41,0.15489564989240578,0.15786688858066136,1.013925471563735e-5
6,46,0.07742878379152761,0.07890488399812252,5.037143612739395e-6
6,51,0.03870150505435203,0.039438166691524494,2.513833711190417e-6
6,56,0.01934389071352134,0.019711948233650994,1.2559842335626476e-6
6,61,0.009668463159441748,0.009852407846526726,6.277052204909792e-7
6,66,0.004832484551789434,0.0049244214326814115,3.137315951120207e-7
6,71,0.0024153682589687607,0.002461319793456959,1.568081065287206e-7
6,76,0.0012072471773764285,0.0012302145964617598,7.837556544596736e-8
6,81,0.0006034051787048475,0.0006148847286596739,3.9173588265708834e-8
6,86,0.00030159340360439904,0.00030733111981122625,1.95797686456543e-8
6,91,0.00015074216118750685,0.00015360995777256308,9.786261926197331e-9
6,96,7.534378499963952e-5,7.677718787925529e-5,4.891440382760025e-9
6,101,3.765832564899168e-5,3.83747034640439e-5,2.4446158325000446e-9
6,106,1.882201921265002e-5,1.9180409007285325e-5,1.2229934369310945e-9
6,111,9.40895329209984e-6,9.586734397347054e-6,6.06672199326852e-10
6,116,4.703288939434315e-6,4.7916327733349196e-6,3.0147043992621243e-10
6,121,2.352321069328818e-6,2.394949487789223e-6,1.454680819158897e-10
6,126,1.1699394755323256e-6,1.197041451294282e-6,9.248460469826367e-11
6,131,5.860742409160095e-7,5.983041577379369e-7,4.173419062518391e-11
6,136,2.776033347217362e-7,2.9904383409568655e-7,7.316500193748363e-11
6,141,1.2616205515599986e-7,1.494678142447756e-7,7.953013962708981e-11
6,146,1.2265105176575866e-7,7.47068655090954e-8,1.636079654292835e-10
6,151,8.89454192194433e-9,3.733991684025043e-8,9.706891032299954e-11
6,156,0.0,1.866320290826676e-8,6.36875687047675e-11
6,161,0.0,9.328224920406675e-9,3.183226204162281e-11
6,166,0.0,4.66242480422016e-9,1.591037195003953e-11
6,171,0.0,2.3303688794479683e-9,7.952307481560667e-12
6,176,0.0,1.164762831002507e-9,3.974715014825973e-12
6,181,0.0,5.821706874176704e-10,1.986638404729102e-12
6,186,0.0,2.9098001779180935e-10,9.92959781122123e-13
6,191,0.0,1.4543736499288854e-10,4.963002449661061e-13
6,196,0.0,7.26923700692345e-11,2.4806033218693143e-13
6,201,0.0,3.6333033581439384e-11,1.239852871902062e-13
6,206,0.0,1.8159943443482043e-11,6.197021226293167e-14
6,211,0.0,9.076686237367625e-12,3.09738945236412e-14
6,216,0.0,4.536700970904563e-12,1.5481343486304234e-14
6,221,0.0,2.267529708658955e-12,7.73787086922532e-15
6,226,0.0,1.1333546144271835e-12,3.867535504381434e-15
6,231,0.0,5.664722614827706e-13,1.9330680403495356e-15
6,236,0.0,2.8313364497269094e-13,9.661842908455061e-16
6,241,0.0,1.415155981436634e-13,4.829173440309471e-16
6,246,0.0,7.073219616795968e-14,2.4137130294450515e-16
