N_z,M_mid,E_exact,E_FFCT,abs_error,relative_error
60,7,31.39401300686976,31.394013006869592,1.6697754290362354e-13,5.698053966458963e-16
3,8,21.120241307656602,16.976553644330593,4.143687663326009,0.014140198445373975
6,8,21.120241307656602,20.9447708406962,0.1754704669604017,0.000598787221846481
9,8,21.120241307656602,21.125007276961103,0.0047659693045005724,1.6263714166165174e-5
12,8,21.120241307656602,21.12019691985603,4.4387800571144e-5,1.5147191574904162e-7
15,8,21.120241307656602,21.120235289311488,6.01834511471111e-6,2.053740560321443e-8
18,8,21.120241307656602,21.120240925368336,3.822882668202965e-7,1.3045461905876696e-9
21,8,21.120241307656602,21.120241305120356,2.5362467681588896e-9,8.654859034288062e-12
24,8,21.120241307656602,21.120241307631748,2.4854784896888305e-11,8.481613946669554e-14
27,8,21.120241307656602,21.120241307656556,4.618527782440651e-14,1.576057480084394e-16
30,8,21.120241307656602,21.120241307656528,7.460698725481052e-14,2.5459390062901747e-16
33,8,21.120241307656602,21.120241307656602,0.0,0.0
36,8,21.120241307656602,21.12024130765668,7.815970093361102e-14,2.6671741970658974e-16
39,8,21.120241307656602,21.12024130765654,6.394884621840902e-14,2.1822334339630072e-16
42,8,21.120241307656602,21.120241307656478,1.2434497875801753e-13,4.2432316771502917e-16
45,8,21.120241307656602,21.12024130765657,3.197442310920451e-14,1.0911167169815036e-16
48,8,21.120241307656602,21.120241307656464,1.3855583347321954e-13,4.728172440253182e-16
51,8,21.120241307656602,21.12024130765656,4.263256414560601e-14,1.4548222893086714e-16
54,8,21.120241307656602,21.120241307656627,2.4868995751603507e-14,8.486463354300584e-17
57,8,21.120241307656602,21.120241307656553,4.973799150320701e-14,1.6972926708601167e-16
60,8,21.120241307656602,21.12024130765667,6.750155989720952e-14,2.30346862473873e-16
3,9,13.414095784168724,11.249317447135837,2.164778337032887,0.007387235178657668
6,9,13.414095784168724,13.365167893882408,0.04892789028631661,0.00016696482321417922
9,9,13.414095784168724,13.415512223480498,0.0014164393117734875,4.833552763054928e-6
12,9,13.414095784168724,13.41409053028477,5.253883953670879e-6,1.7928706927259375e-8
15,9,13.414095784168724,13.414095279029938,5.051387859111856e-7,1.7237695636321609e-9
18,9,13.414095784168724,13.414095731688084,5.2480640277963175e-8,1.7908846620814943e-10
21,9,13.414095784168724,13.414095784014258,1.5446666168372758e-10,5.271124242142256e-13
24,9,13.414095784168724,13.414095784165625,3.099742684753437e-12,1.0577770395181798e-14
27,9,13.414095784168724,13.414095784168858,1.3322676295501878e-13,4.546319654089598e-16
30,9,13.414095784168724,13.414095784168827,1.0302869668521453e-13,3.5158205324959556e-16
33,9,13.414095784168724,13.414095784168875,1.509903313490213e-13,5.152495607968211e-16
36,9,13.414095784168724,13.414095784168865,1.4033219031261979e-13,4.788790035641043e-16
39,9,13.414095784168724,13.414095784168811,8.704148513061227e-14,2.970262174005204e-16
42,9,13.414095784168724,13.414095784168795,7.105427357601002e-14,2.4247038155144525e-16
45,9,13.414095784168724,13.414095784168836,1.1191048088221578e-13,3.8189085094352623e-16
48,9,13.414095784168724,13.4140957841688,7.638334409421077e-14,2.606556601678036e-16
51,9,13.414095784168724,13.414095784168824,9.947598300641403e-14,3.3945853417202334e-16
54,9,13.414095784168724,13.414095784168834,1.1013412404281553e-13,3.758290914047401e-16
57,9,13.414095784168724,13.414095784168808,8.348877145181177e-14,2.8490269832294814e-16
60,9,13.414095784168724,13.414095784168882,1.580957587066223e-13,5.394965989519657e-16
3,10,7.924306232084737,6.907064230158831,1.017242001925906,0.0034713050169076247
6,10,7.924306232084737,7.915802697183219,0.008503534901517895,2.901803436075402e-5
9,10,7.924306232084737,7.924585946321903,0.00027971423716621757,9.545156736914842e-7
12,10,7.924306232084737,7.924305818435819,4.136489177852809e-7,1.4115633849447e-9
15,10,7.924306232084737,7.924306220364389,1.1720348247479251e-8,3.9995304553244955e-11
18,10,7.924306232084737,7.9243062272380875,4.846649304113271e-9,1.6539032022574394e-11
21,10,7.924306232084737,7.9243062320800135,4.723332835965266e-12,1.611821861363232e-14
24,10,7.924306232084737,7.924306232084521,2.1582735598713043e-13,7.365037839625149e-16
27,10,7.924306232084737,7.9243062320847,3.6415315207705135e-14,1.2426607054511567e-16
30,10,7.924306232084737,7.924306232084688,4.884981308350689e-14,1.666983873166186e-16
33,10,7.924306232084737,7.9243062320847235,1.3322676295501878e-14,4.546319654089598e-17
36,10,7.924306232084737,7.924306232084702,3.4638958368304884e-14,1.1820431100632956e-16
39,10,7.924306232084737,7.924306232084702,3.4638958368304884e-14,1.1820431100632956e-16
42,10,7.924306232084737,7.924306232084687,4.973799150320701e-14,1.6972926708601167e-16
45,10,7.924306232084737,7.924306232084666,7.105427357601002e-14,2.4247038155144525e-16
48,10,7.924306232084737,7.924306232084733,3.552713678800501e-15,1.2123519077572261e-17
51,10,7.924306232084737,7.92430623208471,2.6645352591003757e-14,9.092639308179196e-17
54,10,7.924306232084737,7.924306232084722,1.509903313490213e-14,5.152495607968211e-17
57,10,7.924306232084737,7.924306232084658,7.904787935331115e-14,2.6974829947598283e-16
60,10,7.924306232084737,7.924306232084725,1.1546319456101628e-14,3.940143700210985e-17
3,11,4.26793044343645,3.849595756123552,0.4183346873128979,0.0014275534199987918
6,11,4.26793044343645,4.268204073492078,0.0002736300556280824,9.337536034494772e-7
9,11,4.26793044343645,4.2679580373172215,2.7593880771448198e-5,9.4163214433271e-8
12,11,4.26793044343645,4.267930456957074,1.3520623731722026e-8,4.613868568422084e-11
15,11,4.26793044343645,4.267930446381642,2.945191646119838e-9,1.005037003738948e-11
18,11,4.26793044343645,4.267930443124534,3.119158265008082e-10,1.064402542694073e-12
21,11,4.26793044343645,4.267930443436582,1.3233858453531866e-13,4.516010856395667e-16
24,11,4.26793044343645,4.267930443436543,9.325873406851315e-14,3.1824237578627185e-16
27,11,4.26793044343645,4.267930443436539,8.881784197001252e-14,3.0308797693930654e-16
30,11,4.26793044343645,4.2679304434365495,9.947598300641403e-14,3.3945853417202334e-16
33,11,4.26793044343645,4.267930443436565,1.1457501614131615e-13,3.9098349025170546e-16
36,11,4.26793044343645,4.26793044343656,1.1013412404281553e-13,3.758290914047401e-16
39,11,4.26793044343645,4.267930443436519,6.927791673660977e-14,2.364086220126591e-16
42,11,4.26793044343645,4.267930443436533,8.260059303211165e-14,2.818718185535551e-16
45,11,4.26793044343645,4.267930443436536,8.615330671091215e-14,2.9399533763112736e-16
48,11,4.26793044343645,4.2679304434365495,9.947598300641403e-14,3.3945853417202334e-16
51,11,4.26793044343645,4.267930443436539,8.881784197001252e-14,3.0308797693930654e-16
54,11,4.26793044343645,4.267930443436561,1.1102230246251565e-13,3.788599711741332e-16
57,11,4.26793044343645,4.267930443436521,7.105427357601002e-14,2.4247038155144525e-16
60,11,4.26793044343645,4.267930443436579,1.2878587085651816e-13,4.394775665619945e-16
3,12,2.039781213039572,1.8943738973823323,0.14540731565723952,0.0004961977025923192
6,12,2.039781213039572,2.040571210185644,0.0007899971460720856,2.6958393885730265e-6
9,12,2.039781213039572,2.039778573123608,2.6399159636092406e-6,9.008626768597359e-9
12,12,2.039781213039572,2.03978122339257,1.0352998014440118e-8,3.5329266663704215e-11
15,12,2.039781213039572,2.0397812134844044,4.448326151873516e-10,1.5179767310635147e-12
18,12,2.039781213039572,2.0397812130254924,1.4079404309086385e-11,4.804550610441887e-14
21,12,2.039781213039572,2.039781213039645,7.327471962526033e-14,2.500475809749279e-16
24,12,2.039781213039572,2.039781213039646,7.416289804496046e-14,2.5307846074432097e-16
27,12,2.039781213039572,2.0397812130396513,7.949196856316121e-14,2.712637393606794e-16
30,12,2.039781213039572,2.039781213039645,7.327471962526033e-14,2.500475809749279e-16
33,12,2.039781213039572,2.03978121303965,7.815970093361102e-14,2.6671741970658974e-16
36,12,2.039781213039572,2.0397812130396527,8.08242361927114e-14,2.7581005901476896e-16
39,12,2.039781213039572,2.039781213039628,5.595524044110789e-14,1.9094542547176312e-16
42,12,2.039781213039572,2.0397812130396398,6.794564910705958e-14,2.318623023585695e-16
45,12,2.039781213039572,2.039781213039645,7.327471962526033e-14,2.500475809749279e-16
48,12,2.039781213039572,2.03978121303963,5.81756864903582e-14,1.9852262489524577e-16
51,12,2.039781213039572,2.039781213039624,5.1958437552457326e-14,1.7730646650949433e-16
54,12,2.039781213039572,2.0397812130396464,7.460698725481052e-14,2.5459390062901747e-16
57,12,2.039781213039572,2.0397812130396344,6.261657858885883e-14,2.136770237422111e-16
60,12,2.039781213039572,2.039781213039653,8.126832540256146e-14,2.7732549889946546e-16
